command,code,operation
"add d,r",000011rdddddrrrr,Rd←Rd+Rr
"adc d,r",000111rdddddrrrr,Rd←Rd+Rr+C
"adiw d,K",10010110KKddKKKK,Rdh:Rdl←Rdh:Rdl+K
"sub d,r",000110rdddddrrrr,Rd←Rd-Rr
"sbc d,r",000010rdddddrrrr,Rd←Rd-Rr-C
"subi d,K",0101KKKKddddKKKK,Rd←Rd-K
"sbci d,K",0100KKKKddddKKKK,Rd←Rd-K-C
"sbiw d,K",10010111KKddKKKK,Rdh:Rdl←Rdh:Rdl-K
"and d,r",001000rdddddrrrr,Rd←Rd AND Rr
"andi d,K",0111KKKKddddKKKK,Rd←Rd AND K
"or d,r",001010rdddddrrrr,Rd←Rd OR Rr
"ori d,K",0110KKKKddddKKKK,Rd←Rd OR K
"eor d,r",001001rdddddrrrr,Rd←Rd EOR Rr
com d,1001010ddddd0000,Rd←0xFF-Rd
neg d,1001010ddddd0001,Rd←0x00-Rd
"sbr d,K",0110KKKKddddKKKK,Rd←Rd OR K
"cbr d,K",0111KKKKddddKKKK,Rd←Rd AND (0xFF- K)
inc d,1001010ddddd0011,Rd←Rd+1
dec d,1001010ddddd1010,Rd←Rd-1
tst d,001000dddddddddd,Rd←Rd AND Rd
clr d,001001dddddddddd,Rd←Rd EOR Rd
ser d,11101111dddd1111,Rd←0xFF
"mov d,r",001011rdddddrrrr,Rd←Rr
"movw d,r",00000001ddddrrrr,Rd+1:Rd←Rr+1:Rr
"ldi d,K",1110KKKKddddKKKK,Rd←K
ld d,1001000ddddd1100,Rd← (X)
ld d,1001000ddddd1101,"Rd← (X), X←X+1"
ld d,1001000ddddd1110,"X←X-1, Rd← (X)"
ld d,1000000ddddd1000,Rd← (Y)
ld d,1001000ddddd1001,"Rd← (Y), Y←Y+1"
ld d,1001000ddddd1010,"Y←Y-1, Rd← (Y)"
"ldd d,q",10q0qq0ddddd1qqq,Rd← (Y+q)
ld d,1000000ddddd0000,Rd← (Z)
ld d,1001000ddddd0001,"Rd← (Z), Z←Z+1"
ld d,1001000ddddd0010,"Z←Z-1, Rd← (Z)"
"ldd d,q",10q0qq0ddddd0qqq,Rd← (Z+q)
"lds d,k",1001000ddddd0000kkkkkkkkkkkkkkkk,Rd← (k)
st r,1001001rrrrr1100,(X) ←Rr
st r,1001001rrrrr1101,"(X) ←Rr, X←X+1"
st r,1001001rrrrr1110,"X←X-1, (X) ←Rr"
st r,1000001rrrrr1000,(Y) ←Rr
